post content,leavemessage content,num of content likes,post_time,num of posts,num of followers,num of follows,num of tags,avg response,one month posts
"今年終於踏上我七年前的夢想的「自己的片、自己的劇組」，而且狀態很良好！

穩穩的幸福的踏步向前，以超過自己平常吸收養分的速度，實作以往讀的電影腳本分析、分鏡創作、角色試鏡、大台北場地場刊、不斷解決無數的問題，還沒開拍就有排山倒海而來的挑戰去面對，這些挑戰我超愛！

這學期嘛，就是積極努力用盡心力的在??做電影??

經歷過《48小時短片拍攝比賽》後，我終於很幸運的更親近的交了淡江大傳的好朋友(轉學生系邊是我)，很善良的每個職位組員，大家都努力學習朝向同一個目標，這就是團隊的力量吧！對於太太太長期一個人的我來說，真的幸福無比。

即使繞了好幾圈，心之所向終究是拍片，我依然會這樣流浪女子一般的朝向遙遠未來的目標！","caraboralin
????
6 週回覆
jameshandsome14
??
6 週回覆",1032,2019/11/12,1648,12,822,302,5,54
"海洋鏡頭 《海的故事》 。
.
??請大家幫忙分享??
我們幸運入圍第二階段決選的短片，「海洋保育」為了我們最親近的大海家園，從基本的觀念教育做起!! 在生活焦頭爛額之際，看到這個為了「海洋保育」影片活動，我認為這是一個更能在正確的地方發聲的地方！我熱愛大海，於是毅然決然馬上開始計畫，短時間內做足準備搜集資料，在48小時裡衝下小琉球完成拍攝，後製剪輯交片交稿??。
.
這次緊張到最後一刻的過程裡，最感謝的還是我的Outdoor夥伴們，沒有大家的相互扶持我沒辦法那麼順利完成，一部以??「生於海島，愛上海洋」??為主軸的海洋短片。
.
在最開始向我伸出援手的就是要感謝 @jim1426 提供我來自世界各地的海洋生物，還有一手操刀帛琉空拍的 @hanjourney 和 @a_wei_life ，中間也有今年我和 @george2003 一起去的宿霧海洋之旅，也非常感謝 @cathy2wild.sup @cathy2wildddd 帶我看過最美的SUP日出 ，謝謝 @rorkalin_ocean 非常熱忱的邀請我進入自由潛水的世界，還有衝浪夥伴 @tseng_0921 借我的浪板，最後感謝與我奔走小琉球掌鏡拍攝的 @aaron_ruan 。

在製作完的那瞬間，不僅放下了心中的大石，更是滿心喜悅和感激，謝謝我的人生有這些機會，讓我有辦法這麼深刻的去了解海洋；這些朋友，用存在的力量支持著我！

因為了解、所以深愛、所以珍惜，我愛我的家園??！ 請幫我投下關鍵的一票??(專業連結也有喲!!)
https://www.facebook.com/helloocean/photos/pb.117183831668324.-2207520000.1572839011./2500187503367933/?type=3&theater","bearloveoutdoor
????????????????
6 週1 個讚回覆
aliya_1317
投票完成????妳很棒????
6 週1 個讚回覆
jerrylin29988
好棒喔！??????
借分享限動
6 週1 個讚回覆
leah.chun_
只要按讚就好了嗎！
6 週1 個讚回覆
linkenji0329
超讚的兒
6 週1 個讚回覆
chai____ss
讚讚??
6 週回覆
an316xx
??????
6 週1 個讚回覆
tina_louise_chen
好棒好棒！真的好棒！
6 週1 個讚回覆
kathy.c__
你好棒??
6 週1 個讚回覆
zanyfeng
??
6 週回覆
natson50
很喜歡你分享的影片又陽光又開朗
6 週回覆",696,2019/11/8,1648,12,822,302,5,54
"#水漾森林 part 2
好啦，認真老實說，第一次上到水漾還真的是大吃一驚。??
-
沿路遇到山青大哥跟我們說今天上山人數有150人左右，當下還沒什麼概念，想到能看到湖畔就很開心了，沒想到終於抵達水漾，放鬆堅持到最後的毅力，抱著滿心的期待，那一刻，印入眼簾的，卻是滿滿的 呵呵 帳篷。雙手一攤，只能說大家運氣都很好呀，在這個「颱風天」我們兩天都在艷陽與舒適的風和溫度下完成。也慶幸因為全場滿棚，我們反而紮在一個隱秘，水源比較乾淨的地方。(才不會又吵到長輩囉)
-
天色漸漸暗下來，大夥圍成一圈坐著烹煮美食，喝茶喝咖啡，聽著368講著一個又一個離奇的故事，等待著流星閃過，滿肚子的食物，滿腿的乳酸堆積，大家攤懶的在山裡享受當下的幸福。
-
這才是我們上山最深刻的，一切在沒有網路外力的干擾下，人與人最親近的交流與陪伴，大家一起經歷、一起享受，我們是這樣生活的，環境與伴友都是非常真誠的彼此依賴與存在，謝謝台灣這片土地給予我們生命莫大的幸福。
-
隔天再狠狠的踢了7個小時回到停車場，然後大吃一頓。前一天才決定要上山，然後就在山上了，就是這樣，歡迎一起加入「我們的假日例行公事」。????","benjamin4936030
想+
64 週回覆
ah_b_huang
想+
64 週回覆
weijen96
+壹
64 週回覆
emilychen74
+1
64 週回覆
at_remember
?????? 想加入踢腳旅程
64 週回覆
jierenpan
想+
63 週回覆
miao_rh
想++
63 週回覆
grow_1994
??
58 週回覆
rocean___
#goprotw #WHPta iwan #goprotaiwan #bpintaiwan #asia #outdoor #outdooradventures #mountain #travel #backpacker #backpackerlife #neverstopexploring #wildernessculture #lifeofadventure #mountainclimbing #agameoftones #wanderer #theglobewanderer #goodvibes
57 週回覆
rocean___
#goprotw #WHPta iwan #goprotaiwan #bpintaiwan #asia #outdoor #outdooradventures #mountain #travel #backpacker #backpackerlife #neverstopexploring #wildernessculture #lifeofadventure #mountainclimbing #agameoftones #wanderer #theglobewanderer #goodvibes
57 週回覆
philipgunkelphotography
Simply great, keep it up!
53 週回覆
rocean___
#rocean上山了
50 週回覆",416,2018/10/2,1648,12,822,302,5,54
"#水漾森林
原本以為這是一個輕鬆的假日欸！結果大夥一路奔走大休奔走大休，沿路一直問「下切到了沒」「這裡是下切了嗎」，好久好久，都還沒到....我想這就是中級山秘境該有的路線吧，沿途的路程都是每個人靠自己的意志力走上來的，為此感到驕傲與高興！
-
大家說，中級山可以比百岳更難攀登，排除氧氣含量的高低，中級山的升降可以是好幾百甚至千公尺，上上下下的都在磨練大家的毅力，我們互相幫忙互相扶持互相鼓勵也很溫柔的互相傷害，每個人都踢上去了，踢到水漾森林了終於！我們達成了！
-
達成！不是因為我們有先天條件，而是我們選擇一個遠離塵囂回到我們心裡面就有的適圈裡，坐在湖畔，舉杯，慶這滿天星斗的美麗夜空，慶每一位患難與渡假的夥伴！我愛我的每一位朋友！
/
?? 最愛的攝景人之一 @wen_kuan_cheng
謝謝Thule成為我的寵包 沒有之一 #thule #thuletaiwan Thank you!!","ung.chia_ju
你們猛猛的！
64 週回覆
rocean___
#asia #taiwan #outdoor #outdooradventures #mountain #travel #backpacker #backpackerlife #neverstopexploring #wildernessculture #lifeofadventure #mountainclimbing #agameoftones #wanderer #theglobewanderer #goodvibes
57 週回覆
rocean___
#rocean上山了
50 週回覆",620,2018/10/2,1648,12,822,302,5,54
"????：眼前的思考方向跟未來的思考方向不一樣。我常常說，可能眼前有困難挫折沒錢或是羈絆，有人跟我說不可能就是不可能，但是，當我們真的很迫切想要達成一個成就 ，真心想要做好完成一件事情的時候，我依舊覺得，只要你想奮不顧身地想要，所有的事都是可以做得到，真的。 .
-
????：真的。我最近也是有這樣的體悟。
和你在一起帶給我很多啟發！
-
很多的決定都必須交給自己，自己講出來的話自己會記得，自己要負責，自己去執行，當我們得到共鳴認可同理，就可以一起繼續走下去！ .
/
?? @george2003","dnowdog
奮不顧身的想要 XD 放棄一切也要達到的意思嗎？
64 週回覆
bboyyin
讚讚讚讚
64 週1 個讚回覆
shihroams
????說的好?
64 週1 個讚回覆
pengzhou_chen
這光真的太美好
64 週回覆
foodbaby
This is SOOO cute
64 週回覆
rocean___
#Taiwan #asia #outdoor #outdooradventures #mountain #travel #backpacker #backpackerlife #neverstopexploring #wildernessculture #lifeofadventure #mountainclimbing #agameoftones #wanderer #theglobewanderer #goodvibes
57 週回覆
rocean___
#rocean上山了
50 週回覆",418,2018/10/1,1648,12,822,302,5,54
"看完Netflix漢娜的遺言，深切的同感使我起了第一個強烈疑問：究竟這個世界上有多少加害者仍在逍遙、受害無助的女孩承受著纏繞身心的疤痕 - 強姦，如此沈重的夢靨，一輩子的陰影。
-
時間、事件與情感的堆疊，但炸彈只需要一瞬間，? 傷勢慘重，接著從一開始的自我質疑、反思，到中間游移不定、尋求生機，至最後自我放棄、食不知味。漢娜的脆弱與敏感了當地結束了她自己的故事，其中每一個情狀都是連結而延續的，每一刻都讓人心底受到強烈的衝擊！
-
但，一個小生命，能否從無助、自卑、絕望中慢慢爬起，每一個結果跟這些後續承擔的走向，都在考驗著每個生命的韌性，是否被摧殘的遭遇反而讓人越挫越勇？
-
當然可以。需要一點時間，沒關係，相信我，也因為這些大自然的挑戰與懷抱讓生命更清晰、更值得。
-
或許加上社群網站的對話，別忘了，在每個小社會、每個小團體、每個新舊朋友的背後都有著大家不知道的面貌，可以是固執的、殘暴的，惹人厭惡令人咋舌。或許看似老實無害的路人，他摧毀過一個女孩的人生，或許你的某男性朋友曾經對人毆打暴力；這些或許可能存在，可能沒有被公諸於世，可能各自的人生就這樣促使他們有著現在的性情，即使絕望依然存在但努力奮鬥。或許世界真的有很多的或許。
-
誰敢說，這也不過僅僅是眾多現實面的其中一角。只是，我知道一個人的人生中，有多深沉的絕望，就能有多健強的身心。

#metoo #metoo事件 #metoomovement","dcmonkey996
好看…但是自殺那幕我不敢看??
64 週回覆
joooe.yen
看完真的是很多感觸??
64 週回覆
rocean___
#Taiwan #asia #outdoor #outdooradventures #mountain #travel #backpacker #backpackerlife #neverstopexploring #wildernessculture #lifeofadventure #mountainclimbing #agameoftones #wanderer #theglobewanderer #goodvibes
57 週回覆
rocean___
#rocean上山了
50 週回覆",394,2018/9/27,1648,12,822,302,5,54
"Monday, Tuesday, Wednesday we wait, Thursday escape, Friday hooray!!!
百岳前的郊山體能訓練?????? 在這裡瘋狂跳舞??","bboyyin
???????????? 這邊好美
65 週回覆
campervanmagazine
#campervanlicious :??)
65 週回覆
rocean___
#traveltaiwan #bpintaiwan #taiwan1 #minimalpeople #travelaram #taiwantrip #visualsoflife #hypelife #urbanandstreet #shotzdelight #exploretocreate #artofvisuals #fatalframes #visualambassadors #streetdramsmag #exploreeverything #hsdailyfeature #hbouthere #beautifuldestinations #bestvacations #bestcitypics #passionpassport #highsnobiety #illgrammers #modernoutdoors #instagood #AgameofTones #discover_Vacations
64 週回覆
rocean___
#rocean上山了
50 週回覆",387,2018/9/21,1648,12,822,302,5,54
"為什麼妳都自己一個人？
There's a lot of wonderful time to be spent discovering yourself, being alone doesn't need to be painful or empty. You need to fill yourself up with love. Not anyone else. Become a whole being on your own. Go on adventures, fall asleep in the woods, wander around the city at night, sit in a coffee shop alone, leave notes in library books, dress up for yourself, give to others, smile a lot.
Do all things with love, but don't romanticize life like you can't survive without it. There's so much more to life than finding someone who will want you be with you, or being sad over someone who doesn't. Live for yourself and be happy on your own. It isn't any less beautiful, I promise.","donald_duckiexx
Agree
久不久聯誼便好
65 週回覆
tuhua_0610
??
65 週回覆
rocean___
#traveltaiwan #bpintaiwan #taiwan1 #minimalpeople #travelaram #taiwantrip #visualsoflife #hypelife #urbanandstreet #shotzdelight #exploretocreate #artofvisuals #fatalframes #visualambassadors #streetdramsmag #exploreeverything #hsdailyfeature #hbouthere #beautifuldestinations #bestvacations #bestcitypics #passionpassport #highsnobiety #illgrammers #modernoutdoors #instagood #AgameofTones #discover_Vacations
64 週回覆",406,2018/9/18,1648,12,822,302,5,54
I want to be the warmth that fills the space in your life.,"andre_yu.hsuan_wang
這個笑容可以
66 週回覆
yue_freediving_soul
笑容超可愛的
66 週回覆
_yu_0920
這笑容好美??
66 週回覆",434,2018/9/17,1648,12,822,302,5,54
來了，大家都想上山了。?? #mountainseason,"wu_pongo
南湖!!??
67 週回覆
rocean___
#traveltaiwan #bpintaiwan #taiwan1 #minimalpeople #travelaram #taiwantrip #visualsoflife #hypelife #urbanandstreet #shotzdelight #exploretocreate #artofvisuals #fatalframes #visualambassadors #streetdramsmag #exploreeverything #hsdailyfeature #hbouthere #beautifuldestinations #bestvacations #bestcitypics #passionpassport #highsnobiety #illgrammers #modernoutdoors #instagood #AgameofTones #discover_Vacations
64 週回覆
annaruggeri_
Bellissima ????
64 週回覆
rocean___
#rocean上山了
50 週回覆",490,2018/9/12,1648,12,822,302,5,54
"環了台灣第三個島，沒有時間還完，但試過了一半。這是綠島潛水環島下水前的遺照(?)，是一個人生的轉捩點。
/
I have no idols, no religion. I admire what life gives me, dedication and competence.
-
在世界上的每個海岸、每座山頭、每次獨自出現的城市、每個做出的決定，都是屬於自己生命的。但在這個漂泊各地的一路走來，過程中有千百個讚美、鼓勵、謾罵與責備。
-
或許我就是有點魯莽，就是有點隨心所欲，就是有點難安定，這一切為了什麼？在這個消退的生命裡，我只知道我不會感到厭煩，我不會讓自己說出“多希望人生可以重來一次！” come on！現在就是我們能擁有的黃金歲月，現在就是挑戰並且吸收明白自己的人生真理的時候！不要等了！
-
我們在艷陽的太平洋裡裸泳、我們在三千高的山頭get high、我們在夜裡的沙灘比賽摔角：這就是我們的黃金歲月、這就是我們的璀璨年華！這是什麼樣的感覺？這是用你人生的愛與熱忱，去交換一趟不平穩的人生。我不會多問，你醒了嗎？我只會說，你要不要一起來？ -
-
”噢親愛的，讓我們好好把握當下。“ 幹嘛這麼嚴肅？我不想要這麼無聊！反正我就想真真切切地去感受生命！
-
RoRo妳要去哪？我不知道，知道也不跟你說，我的生命隨時都在告訴我，該走了。","gb_hung
Go!
67 週1 個讚回覆
stanoutc6270
潛水環島指的是真的游一圈嗎？
67 週回覆
redflagwuhl
幹講的太好了
67 週回覆
02.chloe.06
沒有時間「環」完
67 週回覆
rocean___
#traveltaiwan #goprotaiwan #taiwan1 #minimalpeople #travelaram #taiwantrip #visualsoflife #hypelife #exploretocreate #freediving #diving #freedivinggirl #exploreeverything #hsdailyfeature #hbouthere #beautifuldestinations #bestvacations #bestcitypics #passionpassport #highsnobiety #illgrammers #modernoutdoors #instagood #AgameofTones #discover_Vacations
57 週回覆
freedivefamily
wow! ????
57 週回覆
rexdavisphoto
Confidence is all in your mind, capture it, you may surprise yourself...
56 週回覆
rocean___
#rocean下潛
50 週回覆",378,2018/9/11,1648,12,822,302,5,54
"有趣的是，面對了困難，然後呢？
我試著站在10年後的自己，看看現在的自己。
/
Not everything is supposed to become something beautiful and long-lasting. Sometimes people come into your life to show you what is right and what is wrong, to show you who you can be, to teach you to love yourself, make you feel better for a little while, or to just be someone to walk with at night and spill your life to. Not everyone is going to stay forever. We have to keep on going and thank them for what they've given us, appreciate what life shows us, how it introduces us to a new way to look at things.","lagking
I love your words so much. Thanks for sharing. ??
67 週1 個讚回覆
passionya
Your welcome
67 週回覆
timothy.christian_sw
Were the words written by you? Very meaningful??
67 週回覆
bastiensjk
nice shot :)....
66 週回覆
rocean___
#traveltaiwan #goprotaiwan #taiwan1 #minimalpeople #travelaram #taiwantrip #visualsoflife #hypelife #exploretocreate #freediving #diving #freedivinggirl #exploreeverything #hsdailyfeature #hbouthere #beautifuldestinations #bestvacations #bestcitypics #passionpassport #highsnobiety #illgrammers #modernoutdoors #instagood #AgameofTones #discover_Vacations
57 週回覆
rocean___
#rocean下潛
50 週回覆",1140,2018/9/11,1648,12,822,302,5,54
砂婆礑下次來一定要走到深谷岔路右轉的??獵戶瀑布哇！花蓮還有好多清單要攻下！下回跟大家分享軌跡跟影片好了～??????,"kumaxuez
獵戶蠻美的??
後段不太好走
68 週1 個讚回覆
indysents
@rocean___ 灰白的大自然是哪個星球的？
68 週回覆
koweichu
攝影師太強
68 週2 個讚回覆
max740113
那個卡稱太厲害了
68 週1 個讚回覆
chai____ss
過12點頻道
68 週2 個讚回覆
jose.gtz.mtz
????????????
68 週回覆
jose.gtz.mtz
????????????
68 週1 個讚回覆
cinder.tw
恭喜妳被選為限量VIP用戶??。每日無限滑動，卻始終無法找到對的人？ 我們運用智慧演算，推薦最適合妳的對象??。 bit.ly/cinder-ig
68 週回覆
whitepage
good job ??!!
66 週1 個讚回覆
rocean___
#Taiwan #asia #outdoor #outdooradventures #mountain #travel #backpacker #backpackerlife #neverstopexploring #wildernessculture #lifeofadventure #mountainclimbing #agameoftones #wanderer #theglobewanderer #goodvibes #bikini #fitness
57 週1 個讚回覆
rocean___
#rocean溯溪
50 週回覆
potter_2016
獵戶瀑布群，很遠 ??????
26 週回覆",764,2018/8/30,1648,12,822,302,5,54
